,id,Ra,Rms,Rsk,Rku
0,example,0.000417142611972157,0.0005167605279685341,-0.34622273913352397,-0.6951783985419708
1,example,0.0004115291773624604,0.000507868697464956,-0.34615409454853563,-0.7210491023738141
2,example,0.0004017269729994064,0.0004934948445777075,-0.3406115650224526,-0.7519618286086969
3,example,0.0003889942919531802,0.00047690915745834294,-0.3225911394894917,-0.7652338995431243
4,example,0.00037450278233104616,0.00045976086154445386,-0.28521015144789963,-0.7458149850431552
5,example,0.0003598096376543668,0.00044279270662267537,-0.22566100313275186,-0.6834325048739354
6,example,0.00034537266896705687,0.0004262077334524682,-0.1505719355814269,-0.5779398625434933
7,example,0.00033042458333805457,0.00040996182075744457,-0.07395687302461793,-0.4499816567139616
8,example,0.00031556666922304214,0.0003946108956381066,-0.00953644272189995,-0.3322079968716696
9,example,0.00030273951485627513,0.0003815160652163793,0.03082300468424952,-0.25350469502383977
10,example,0.00029579728882987434,0.00037181538113578423,0.034907955200925975,-0.23566228312364768
11,example,0.0002939100586043677,0.00036533032133616186,-0.0024605971090274647,-0.2820802110434997
12,example,0.00029456615634526156,0.00036063704013085385,-0.06843738116959493,-0.3774456376725315
13,example,0.00029532153493070826,0.00035643353864787974,-0.14132485095279582,-0.5043477544142014
14,example,0.0002955762699792247,0.00035258067821289846,-0.20823566856736322,-0.6450083196018297
15,example,0.00029554890239012527,0.0003496400982122373,-0.26251044165077825,-0.7727304542923186
16,example,0.00029499290176580954,0.0003475497138110734,-0.2987926266552304,-0.8570768175637875
17,example,0.0002932936198143232,0.00034510856649952936,-0.32069701159888125,-0.8919206127179269
18,example,0.0002904250271169636,0.0003413529227003082,-0.33961284452243046,-0.9011830582325793
19,example,0.00028746361477280976,0.000336820180020285,-0.36454219797134535,-0.9078095817876481
20,example,0.0002852329244362576,0.0003328447227812406,-0.3981265375227891,-0.9082347961781254
21,example,0.00028297274738130196,0.00033023290725950886,-0.4375372001544239,-0.8847840933098956
22,example,0.0002803198031288994,0.00032908495165172796,-0.4767528916027417,-0.838035897820002
23,example,0.0002776986657705642,0.0003292661928495268,-0.5076520144565768,-0.789038396530588
24,example,0.0002756989309564814,0.00033034410575873233,-0.5242648879448066,-0.7486717806301879
25,example,0.00027415339428295266,0.0003313938824064445,-0.5277588933051847,-0.7108990685799537
26,example,0.0002723168590565202,0.00033138212514606074,-0.522705286096516,-0.6747188534849173
27,example,0.0002686527221139578,0.0003298247576954795,-0.5094559651465969,-0.6493624864327181
28,example,0.0002638079068957201,0.0003271494920295257,-0.4825861745894611,-0.6410677504276907
29,example,0.00025983537018169626,0.000324503859662116,-0.4332781109692644,-0.6527426334522657
30,example,0.00025884477331886493,0.00032301725914025926,-0.35413110674176507,-0.6737895840640884
31,example,0.0002585763792767954,0.00032291700650002045,-0.24525863886525082,-0.6714460945589189
32,example,0.00025744378700868646,0.0003237567802195293,-0.11733443193559692,-0.6278921803201611
33,example,0.0002586221321458832,0.00032530268889747533,0.007352966195339359,-0.5724458248739173
34,example,0.0002615506091112102,0.0003272211770781673,0.1032637158077468,-0.5535347469364211
35,example,0.0002642697737615388,0.0003284255203972936,0.1596154191284634,-0.580420739896176
36,example,0.00026493429721995767,0.0003277480358248969,0.18425521548472204,-0.6230291566332835
37,example,0.00026331069361548823,0.00032506682155986457,0.19082144078450552,-0.6553564635788076
38,example,0.000259711825653031,0.00032107483268485805,0.1913927951609928,-0.6661578156112165
39,example,0.00025482640656783624,0.00031636560038653523,0.1908880961020165,-0.6536386091769462
40,example,0.0002495700527763287,0.00031145157604161905,0.18052402052602526,-0.6257952114294936
41,example,0.0002455934329928197,0.0003070903091631752,0.14877967068266607,-0.5935649308311008
42,example,0.00024407996438105339,0.00030408842700091005,0.09931042343639922,-0.5631016065485395
43,example,0.00024553662298239107,0.00030313125660718076,0.049780915836490115,-0.5384083661618928
44,example,0.0002492577991470469,0.0003044871664490129,0.01751593940602347,-0.528172642045281
45,example,0.0002543022237226402,0.000307465577937739,0.009802738141330172,-0.5426911353444046
46,example,0.0002589686113891221,0.00031063588867966547,0.021430164168711,-0.5826328497929927
47,example,0.00026169134286816543,0.00031291209654953593,0.037956135971075305,-0.6346776979581592
48,example,0.0002633401479814577,0.00031399232772210827,0.046625631889703124,-0.6784696152569305
49,example,0.00026439218847579293,0.0003138997555728072,0.04708496972298377,-0.6973729703110783
50,example,0.00026386890580822747,0.00031288180613892096,0.050423580411256955,-0.6849347260624108
51,example,0.0002616693298786236,0.0003116039818694228,0.06933646537359868,-0.644409189708568
52,example,0.00025788513363071567,0.00031040353216212795,0.10752380624688969,-0.588754868234763
53,example,0.00025253930238528004,0.0003085309554321302,0.1589190346458367,-0.5303197749890303
54,example,0.0002466885823308441,0.00030520120639338703,0.2136525035629482,-0.47132317230162757
55,example,0.00024152277569755115,0.00030070725338999865,0.26403987080694696,-0.40721560020164604
56,example,0.00023726752330902382,0.00029580303322652784,0.31194656505025126,-0.3354054209971631
